faction,count,name,position,points,type,effect,typeA,effectA,typeB,effectB
gangsters,1,Tricheur,back,0,PERMANENT,Le premier pari de chaque tour donne toujours le résultat 6.,,,,
hell,4,Ombre,back,0,IMMÉDIAT,Rejouez ce tour.,,,,
hell,3,Fou,any,0,PERMANENT,"Si ce personnage est détruit pendant votre tour, gagnez 3 points permanents.",,,,
hell,2,Assassin,back,0,PERMANENT,Début de tour : vous pouvez faire un sacrifice pour détruire un ennemi en position front_icon.,,,,
hell,2,Cerbère,front,X,PERMANENT,X vaut à 1 + le nombre d'alliés avec des points de base à 0.,,,,
hell,2,Dragon,front,3,PERMANENT,Fin de tour : vous pouvez faire un sacrifice pour piocher 1 carte.,,,,
hell,1,Golem,any,6,PERMANENT,"Fin de tour, Contrainte&nbsp;: vous devez faire un sacrifice.",,,,
hell,1,Seigneur,front,2,IMMÉDIAT,"Contrainte: sacrifiez tous vos alliés avec des points de base à 0, gagnez 1 point permanent par allié sacrifié.",,,,
hell,1,Tentatrice,front,2,IMMÉDIAT,Vous pouvez faire un sacrifice pour prendre un ennemi avec 0 point de base dans votre main.,,,,
horror,4,Clown,front,2,PERMANENT,Ce personnage ne peut pas être détruit par un effet adversaire.,,,,
horror,3,Exorciste,front,1,IMMÉDIAT,Détruisez un personnage de la faction horror_icon,,,,
horror,2,Antéchrist,back,0,IMMÉDIAT,Détruisez un personnage qui n'est pas de la faction horror_icon.,,,,
horror,2,Nonne,back,0,,,IMMÉDIAT,Placez un ennemie en position front_icon sur votre terrain.,PERMANENT,"Si un adversaire détruit ce personnage, il peut placer un de vos alliés sur son terrain."
horror,2,Psychopathe,front,4,PERMANENT,Le joueur qui détruit ce personnage le place sur son terrain.,,,,
horror,1,Boucher,any,2,PERMANENT,Gagnez 1 point permanent chaque fois que vous détruisez un ennemi.,,,,
horror,1,Diable,front,3,IMMÉDIAT,Contrainte : tous les joueurs doivent détruire un de leur personnage en position back_icon.,,,,
horror,1,Poupée,any,3,IMMÉDIAT,"Révélez une carte de la pioche, si elle a un effet IMMÉDIAT, copiez-le.",,,,
humans,4,Villageois,any,0,IMMÉDIAT,Donnez l'altération encouragé à ce personnage.,,,,
humans,3,Garde,front,2,IMMÉDIAT,Piochez 2 cartes puis défaussez 2 cartes.,,,,
humans,2,Archer,back,1,IMMÉDIAT,Détruisez un personnage en position back_icon.,,,,
humans,2,Chevalier,front,3,PERMANENT,"Contrainte : Si un allié en position back_icon est détruit par un effet adverse, détruisez ce personnage à la place.",,,,
humans,2,Prêtre,back,1,IMMÉDIAT,Copiez l'effet IMMÉDIAT d'un allié en position front_icon.,,,,
humans,1,Barde,front,2,IMMÉDIAT,"Révélez 1 carte de la pioche, vous pouvez la jouer s'il est de la même faction que ce personnage, sinon gardez-la en main.",,,,
humans,1,Reine,back,0,IMMÉDIAT,Donnez l'altération encouragé à un autre allié.,,,,
humans,1,Roi,back,X,PERMANENT,"X vaut 5 si vous avez 4 alliés de la faction human_icon, sinon X vaut 0.",,,,
imps,5,Calme,any,2,IMMÉDIAT,Donnez l'altération silence à un personnage.,,,,
imps,2,Bébé,back,1,PERMANENT,"Lorsqu'un personnage unique est joué ou placé sur votre terrain, gagnez 1 point permanent.",,,,
imps,2,Danseur,front,3,IMMÉDIAT,Contrainte : Donnez l'altération silence à un allié avec un effet PERMANENT.,,,,
imps,2,Marchand,front,X,PERMANENT,X est égal au nombre de factions différentes sur votre terrain.,,,,
imps,2,Musicien,front,2,IMMÉDIAT,Déplacez les altérations de vos alliés vers d'autres alliés.,,,,
imps,1,Diacre,back,5,PERMANENT,"Fin de tour, Contrainte&nbsp;: choisissez un adversaire, il gagne 1 point permanent.",,,,
imps,1,Mal,front,7,PERMANENT,Contrainte : vous ne pouvez pas gagner la partie. Détruisez ce personnage s'il n'y a plus de carte dans la pioche.,,,,
imps,1,Voyageur,front,3,,,IMMÉDIAT,Gagnez 3 points permanents.,PERMANENT,"Fin de tour, Contrainte : placez ce personnage sur le terrain d'un autre joueur."
mages,4,Élève,any,X,PERMANENT,X est égal au nombre d'alliés avec X points de base.,,,,
mages,3,Apprentie,front,X,PERMANENT,X vaut 3.,,,,
mages,2,Comploteur,front,4,IMMÉDIAT,Contrainte : détruisez un allié avec un effet PERMANENT.,,,,
mages,2,Espion,any,2,IMMÉDIAT,"Défaussez 1 carte, puis piochez 2 cartes.",,,,
mages,2,Rats,back,1,IMMÉDIAT,Détruisez un personnage avec X point de base.,,,,
mages,1,Divinité,back,X,PERMANENT,X est égal aux points de base de votre meilleur allié en position front_icon. Les points X ne sont pas pris en compte.,,,,
mages,1,Professeur,back,0,IMMÉDIAT,Gagnez 1 point permanent pour chaque allié avec X points de base.,,,,
mages,1,Sage,any,1,IMMÉDIAT,"Regardez la main d'un joueur, vous pouvez échanger une carte de sa main avec une carte la votre.",,,,
mountain,4,Bonhomme,back,1,IMMÉDIAT,Donnez l'altération gel à un personnage en position front_icon.,,,,
mountain,3,Yéti,front,2,PERMANENT,"Lorsque ce personnage reçoit l'altération gel, gagnez 2 points permanents.",,,,
mountain,2,Ancêtre,any,0,IMMÉDIAT,Supprimez une ou plusieurs altérations d'un personnage puis gagnez 1 point permanent.,,,,
mountain,2,Barbare,front,3,IMMÉDIAT,Contrainte : échangez votre main avec celle d'un autre joueur.,,,,
mountain,2,Sorcière,front,3,IMMÉDIAT,Contrainte : Donnez l'altération gel à un allié.,,,,
mountain,1,Bête,back,X,PERMANENT,X vaut 2 + le nombre d'alliés avec une ou plusieurs altérations.,,,,
mountain,1,Géant,back,5,PERMANENT,"Fin de tour, Contrainte&nbsp;: donnez l'altération gel à un allié.",,,,
mountain,1,Lézard,any,0,IMMÉDIAT,Supprimez jusqu'à 3 altérations à des ennemis ou à des alliés.,,,,
robots,4,Minibot,any,2,IMMÉDIAT,Piochez 1 carte.,,,,
robots,3,Recycleur,front,2,IMMÉDIAT,Prenez 1 carte de la défausse dans votre main.,,,,
robots,2,Armure,front,4,IMMÉDIAT,Contrainte : défaussez 1 carte de votre main.,,,,
robots,2,Drône,back,1,IMMÉDIAT,Tous les adversaires doivent défausser 1 carte de leur main.,,,,
robots,2,Traqueur,back,0,PERMANENT,Fin de tour : vous pouvez défausser 1 carte de votre main pour détruire un ennemi en position front_icon.,,,,
robots,1,Arme,any,5,PERMANENT,Contrainte : Vous ne piochez plus de carte au début de vos tours.,,,,
robots,1,Mère,back,X,PERMANENT,"Fin de tour : X vaut 5 si vous n'avez plus de carte en main, sinon X vaut 0.",,,,
robots,1,Super héro,any,1,,,IMMÉDIAT,Piochez 3 cartes.,PERMANENT,Vous n'avez plus de limite de cartes en main.
trolls,4,Avorton,front,3,PERMANENT,"Lorsque ce personnage est détruit, piochez 1 carte.",,,,
trolls,3,Imbécile,any,1,IMMÉDIAT,"Contrainte : détruisez un allié, gagnez ses points de base en points permanents.",,,,
trolls,2,Comptable,any,1,PERMANENT,"Lorsque ce personnage est détruit, gagnez 2 points permanents.",,,,
trolls,2,Kamikaze,front,2,PERMANENT,"Lorsque ce personnage est détruit, détruisez un personnage en position front_icon.",,,,
trolls,2,Prophète,back,1,IMMÉDIAT,Détruisez un allié puis placez un allié de votre cimetière sur votre terrain.,,,,
trolls,1,Brute,back,6,PERMANENT,"Début de tour, Contrainte&nbsp;: vous devez détruire un allié.",,,,
trolls,1,Chamane,back,1,PERMANENT,Gagnez 1 point permanent chaque fois qu'un autre allié est détruit.,,,,
trolls,1,Lanceur,front,3,IMMÉDIAT,Contrainte : détruisez 2 alliés pour détruire un ennemi.,,,,
